Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
China,Soybeans,2000,2535.2,136.14,34.1,35224.2
China,Maize,2007,2260.4,487.94,22.9,43893.2
Brazil,Wheat,2018,1485.2,39.69,10.6,29377.0
United States of America,"Rice, paddy",2000,1494.4,120.27,12.3,32286.2
India,Soybeans,2020,2023.3,258.59,26.4,38952.6
Brazil,Potatoes,2015,728.3,60.52,18.5,175908.8
China,Soybeans,2014,410.0,427.8,27.6,32032.1
Australia,Potatoes,2000,1554.6,325.06,11.2,175940.2
Australia,Potatoes,2001,1004.4,8.14,33.3,223948.9
Australia,Potatoes,2015,490.5,321.39,10.7,173908.6
Brazil,Potatoes,2011,1348.1,321.82,21.5,206170.8
Brazil,Wheat,2000,2059.0,103.74,16.8,36262.1
China,"Rice, paddy",2018,1969.3,168.61,26.4,36789.9
United States of America,Maize,2008,1639.3,346.6,18.7,36168.0
Brazil,Soybeans,2003,1428.5,483.81,23.7,42243.3
Brazil,Wheat,2002,1414.1,186.32,29.4,31850.0
Australia,Potatoes,2016,2135.6,370.08,16.0,198227.8
China,Wheat,2012,2717.9,194.91,10.3,32531.9
India,Maize,2011,1258.2,478.42,26.9,37524.2
Australia,Soybeans,2002,1926.6,277.07,15.3,27418.0
Australia,Wheat,2006,546.3,247.46,11.4,27792.1
Australia,Maize,2010,616.1,71.92,29.0,33852.5
China,Wheat,2005,527.1,350.63,11.8,36275.8
Australia,Soybeans,2004,929.7,290.86,31.6,33451.4
China,Wheat,2006,2962.2,376.81,19.4,40153.8
United States of America,Maize,2006,1473.0,127.21,20.1,37388.1
United States of America,Potatoes,2007,617.3,324.78,28.7,196906.3
China,Wheat,2000,903.7,481.63,10.3,38447.0
Australia,Soybeans,2014,2706.1,264.09,34.8,35895.5
China,Wheat,2017,748.8,108.8,17.4,30587.2
India,Soybeans,2002,2733.1,23.2,17.0,36292.9
United States of America,Potatoes,2003,1552.0,177.0,24.6,184769.9
China,Soybeans,2008,1001.9,226.89,10.8,27952.9
Australia,Potatoes,2015,739.1,455.51,30.6,164458.2
United States of America,Maize,2004,1956.2,209.41,33.3,35287.9
India,"Rice, paddy",2014,706.1,297.27,19.5,31374.3
Brazil,Maize,2016,2563.5,234.61,20.4,39131.4
China,Wheat,2004,2999.2,498.32,23.9,48800.8
Australia,Soybeans,2004,2344.1,189.24,16.0,32504.0
Australia,Soybeans,2003,917.3,336.01,25.5,32538.9
China,"Rice, paddy",2001,1585.8,415.77,17.7,35371.3
Australia,Soybeans,2013,2201.0,106.88,13.4,36169.1
China,"Rice, paddy",2005,1941.8,318.5,23.9,37672.8
India,Wheat,2014,1370.7,311.23,31.6,36967.6
Australia,Soybeans,2003,1540.2,421.12,29.2,33696.7
Brazil,Maize,2015,1222.2,268.86,21.5,39045.1
Brazil,Potatoes,2007,2180.6,206.12,31.9,192764.4
Australia,"Rice, paddy",2018,410.3,84.88,17.0,26208.6
Australia,Soybeans,2005,625.7,230.66,15.2,29405.2
Australia,Maize,2008,549.2,240.83,27.2,28454.7
Brazil,Soybeans,2016,1047.6,403.2,28.7,33970.8
United States of America,Potatoes,2013,1548.8,373.86,10.9,168481.2
Brazil,Maize,2014,2580.0,374.93,10.8,38740.2
Brazil,Wheat,2004,792.2,282.2,31.0,38085.1
United States of America,Potatoes,2016,1225.9,237.25,18.9,184201.5
China,"Rice, paddy",2014,2312.7,216.11,13.2,37906.0
India,Soybeans,2005,2729.0,303.97,16.1,33133.1
India,Wheat,2020,574.8,76.85,16.1,30839.9
China,Maize,2008,516.6,262.49,20.3,34637.8
China,Wheat,2005,2105.3,464.72,23.9,45376.5
United States of America,Maize,2012,2377.6,93.93,18.1,35986.1
India,Potatoes,2014,2209.5,384.01,12.2,140226.2
Brazil,Potatoes,2012,1738.0,26.39,18.4,175951.9
Australia,Wheat,2016,615.1,236.85,25.2,38046.9
Brazil,Wheat,2004,2542.7,482.53,13.1,44416.1
China,Maize,2002,2801.4,360.94,11.2,40239.2
Australia,Maize,2008,2326.4,399.87,30.6,39843.4
United States of America,Potatoes,2012,1888.4,341.65,21.3,187020.9
Brazil,Soybeans,2005,1757.4,219.65,24.4,32144.2
United States of America,Soybeans,2007,918.4,271.65,20.8,29161.4
Brazil,Maize,2007,2173.0,83.78,32.0,37775.6
Brazil,Potatoes,2005,2331.5,353.64,29.5,193125.9
India,Potatoes,2001,2358.6,438.44,18.6,215146.6
Australia,Soybeans,2014,1404.2,386.06,10.3,32619.5
Brazil,Maize,2003,1765.4,126.27,18.6,30325.3
United States of America,Maize,2011,2762.0,69.99,12.5,37816.9
India,Potatoes,2010,2816.7,282.78,27.4,200942.0
United States of America,Wheat,2008,1445.2,368.35,33.4,39943.7
Brazil,Wheat,2013,936.9,83.18,14.7,30548.1
Brazil,Soybeans,2014,447.9,167.93,30.1,30081.1
Australia,"Rice, paddy",2008,608.5,207.55,31.6,28945.5
Brazil,"Rice, paddy",2016,1885.1,16.91,32.8,30408.3
India,Potatoes,2005,391.5,156.08,29.5,170061.2
United States of America,Soybeans,2016,780.7,480.55,13.7,32936.8
China,Soybeans,2007,1655.9,297.89,11.7,31285.4
Brazil,Soybeans,2016,398.7,236.3,24.1,32245.7
United States of America,Wheat,2013,2228.0,264.06,23.4,40432.2
Brazil,Potatoes,2000,1202.8,38.21,28.8,131015.9
United States of America,"Rice, paddy",2018,2038.8,204.66,10.6,32830.2
Australia,Wheat,2002,923.9,336.11,10.5,33589.5
India,Soybeans,2002,2696.1,278.58,28.0,40159.5
China,Potatoes,2004,680.9,203.49,18.1,191291.4
United States of America,"Rice, paddy",2006,2286.9,424.14,13.1,38279.1
United States of America,"Rice, paddy",2000,2507.1,171.24,16.5,35811.1
United States of America,Maize,2011,2542.8,172.92,29.3,39730.2
Brazil,Potatoes,2011,678.3,434.3,22.2,191813.9
India,"Rice, paddy",2018,1683.6,370.97,27.5,33878.5
Brazil,Potatoes,2012,2166.3,341.75,30.6,183658.4
Australia,"Rice, paddy",2003,1644.8,34.05,20.1,33262.3
Australia,"Rice, paddy",2020,1011.9,133.62,28.3,29591.4
United States of America,Potatoes,2012,2095.6,88.1,32.9,153157.5
United States of America,"Rice, paddy",2010,797.8,45.62,29.3,24421.6
Australia,Soybeans,2010,1079.5,178.16,28.0,31949.6
United States of America,Soybeans,2000,1028.8,270.15,14.1,27507.3
China,Maize,2016,1640.2,298.62,18.4,36536.1
India,Wheat,2000,1637.8,344.36,20.9,41452.6
Brazil,Maize,2017,2458.4,347.5,16.8,36360.4
China,Maize,2016,669.4,475.14,21.2,41289.9
China,Maize,2007,2025.2,379.64,28.1,40609.4
United States of America,Wheat,2011,897.3,493.84,33.6,39715.9
United States of America,Wheat,2020,1577.7,156.77,13.0,32602.3
United States of America,Maize,2017,2311.7,27.91,21.4,36144.5
Brazil,"Rice, paddy",2006,399.9,298.34,15.8,28031.5
China,Wheat,2003,2435.0,159.72,25.6,43086.4
Australia,"Rice, paddy",2011,929.0,12.69,31.8,27517.6
Brazil,Maize,2006,325.6,26.82,12.2,26314.5
Australia,Potatoes,2015,2658.9,492.05,29.2,172374.0
Australia,Wheat,2016,598.3,177.63,17.2,29086.9
China,"Rice, paddy",2004,413.7,9.43,34.7,19887.3
China,Potatoes,2004,2423.1,45.16,20.4,172980.1
Brazil,Soybeans,2001,751.0,495.59,15.8,35447.7
Australia,Maize,2012,624.9,23.95,19.6,30224.8
India,Wheat,2002,2530.8,400.48,25.7,45323.7
China,"Rice, paddy",2016,769.5,198.42,29.0,27027.2
India,Maize,2002,906.0,112.3,23.4,36262.4
United States of America,Maize,2008,1356.2,136.84,21.9,38240.2
Brazil,Wheat,2001,2627.7,404.85,26.4,43218.8
China,Maize,2004,431.7,266.53,34.1,32032.3
Australia,Potatoes,2004,2977.0,31.23,32.1,197959.5
Brazil,"Rice, paddy",2007,1827.5,133.88,32.0,31231.9
Brazil,Potatoes,2000,724.8,80.62,18.4,187977.4
China,Soybeans,2010,2895.6,233.0,32.0,35087.8
United States of America,"Rice, paddy",2010,917.3,454.4,10.0,36474.5
China,"Rice, paddy",2012,1965.7,490.6,25.8,40945.3
United States of America,Potatoes,2012,2405.6,53.94,29.0,196973.5
China,Potatoes,2014,2816.5,51.7,33.4,182352.4
China,"Rice, paddy",2003,1112.6,354.23,11.7,28727.5
United States of America,Maize,2017,2653.1,486.76,34.2,45000.1
China,Maize,2002,1904.9,192.11,11.6,33078.8
Brazil,Maize,2001,1038.8,498.56,20.7,42687.5
Australia,Wheat,2006,1723.0,413.05,17.5,42592.9
China,Maize,2002,2867.3,75.95,20.8,38519.2
Australia,Soybeans,2019,1373.5,137.47,34.6,31015.7
United States of America,Soybeans,2002,384.1,326.01,19.2,31059.4
China,Maize,2007,730.0,102.25,12.3,28603.6
United States of America,Potatoes,2006,1990.8,66.06,10.8,154176.6
China,"Rice, paddy",2002,800.7,231.32,10.0,31804.7
China,Potatoes,2008,841.4,246.05,11.6,196701.0
Australia,Soybeans,2001,2453.4,155.53,21.4,33916.2
Brazil,Soybeans,2000,2872.2,453.96,28.1,36823.0
Brazil,Wheat,2016,577.5,285.67,10.5,29861.9
India,"Rice, paddy",2007,326.4,163.57,22.9,28796.2
India,Wheat,2012,522.8,412.34,18.9,39802.3
United States of America,"Rice, paddy",2011,582.3,318.4,27.7,30232.4
India,Wheat,2006,1954.9,149.77,33.4,36391.1
China,Maize,2006,2084.2,276.72,24.9,40704.5
United States of America,Maize,2008,742.8,219.58,28.1,37352.2
India,Soybeans,2018,891.9,487.94,18.4,38184.7
Australia,Soybeans,2018,736.5,10.92,26.3,27864.9
Brazil,Maize,2009,1388.8,110.67,20.5,28925.6
India,Potatoes,2016,2644.3,363.72,28.6,168129.5
China,Potatoes,2017,2641.0,289.55,21.0,184309.7
Australia,"Rice, paddy",2003,2658.2,450.4,20.5,42412.2
Australia,Potatoes,2002,1982.0,315.96,28.3,170134.0
Brazil,"Rice, paddy",2007,1394.3,301.13,25.8,35216.8
Australia,Soybeans,2005,1629.2,123.99,31.8,25768.0
India,Potatoes,2001,557.2,326.24,17.8,202330.9
Australia,Wheat,2007,1916.5,198.63,15.9,36583.5
Brazil,"Rice, paddy",2002,1493.5,165.78,21.2,30322.1
Australia,Potatoes,2007,1966.3,353.54,14.2,190796.6
China,Potatoes,2010,2288.3,332.07,21.9,205321.7
China,Potatoes,2019,1028.3,29.01,23.3,198871.7
China,"Rice, paddy",2000,629.7,226.37,33.3,29248.8
China,"Rice, paddy",2019,2963.9,482.58,10.1,36071.9
United States of America,Wheat,2017,2927.4,290.27,16.4,37215.9
China,Soybeans,2019,2202.6,101.33,26.8,33520.4
United States of America,Soybeans,2000,2273.2,78.5,15.9,31158.9
United States of America,Wheat,2007,2634.4,384.38,12.8,42166.5
India,Potatoes,2000,1921.6,470.47,30.7,205199.8
China,"Rice, paddy",2017,1933.4,159.4,31.7,35693.9
India,Soybeans,2008,544.3,144.7,12.7,29148.3
China,Maize,2005,2733.7,439.01,17.9,44828.4
Australia,Maize,2000,624.6,272.47,10.1,28975.5
Australia,Maize,2000,941.4,186.94,15.7,29013.3
United States of America,Maize,2002,754.8,321.47,29.0,42331.8
United States of America,Potatoes,2020,2497.2,54.9,13.7,179521.6
Australia,Potatoes,2003,1941.3,382.56,30.3,187664.3
Brazil,Maize,2014,832.3,239.85,14.9,33624.2
Australia,Potatoes,2015,1712.3,335.21,33.2,221688.9
United States of America,Potatoes,2017,1379.7,488.37,30.6,206245.7
Brazil,Potatoes,2009,2459.4,92.7,17.4,178076.9
China,Potatoes,2003,535.0,407.97,19.3,198864.9
Australia,"Rice, paddy",2014,2868.8,301.01,30.5,37433.7
India,"Rice, paddy",2009,2730.1,177.03,15.9,35508.3
Australia,Potatoes,2017,2276.3,425.66,26.8,208939.6
United States of America,Wheat,2017,713.1,118.0,31.7,33823.7
India,Soybeans,2016,781.8,156.48,15.8,29542.5
India,Soybeans,2001,1041.3,298.72,26.9,30993.4
United States of America,Soybeans,2006,2256.2,8.4,18.5,31341.5
United States of America,Soybeans,2013,1015.2,322.82,24.9,36685.1
India,Wheat,2005,1258.5,35.18,23.0,34740.2
United States of America,Maize,2011,1175.7,166.83,26.7,30622.5
China,"Rice, paddy",2005,1806.0,365.46,21.6,37320.1
China,Soybeans,2012,2014.4,377.54,14.3,34807.2
United States of America,Wheat,2015,303.3,150.78,34.5,25170.1
China,Maize,2007,354.1,368.72,29.2,33862.3
India,Wheat,2020,550.9,128.9,29.7,33236.0
China,Potatoes,2001,470.4,59.27,15.7,192055.9
Australia,"Rice, paddy",2008,536.6,468.51,23.8,34233.8
United States of America,Potatoes,2017,1692.3,459.74,22.4,176896.2
China,Soybeans,2019,863.0,465.33,12.9,33243.4
United States of America,Maize,2015,872.4,409.46,18.1,39766.9
Brazil,"Rice, paddy",2001,903.8,478.68,24.3,37456.5
Australia,Wheat,2003,1937.2,70.03,32.5,36364.9
Australia,Potatoes,2002,2872.6,412.69,26.7,200821.7
China,Wheat,2014,2900.4,274.99,34.1,38646.9
China,Soybeans,2013,2665.5,139.24,31.3,30643.4
Brazil,Soybeans,2018,817.8,106.27,22.1,31616.7
United States of America,Soybeans,2014,2955.9,119.97,13.6,32932.7
Brazil,Potatoes,2000,1675.4,498.35,30.3,182280.5
China,Potatoes,2019,2070.5,424.08,28.1,190328.6
Australia,Maize,2006,1718.9,241.08,14.4,38263.0
Australia,Soybeans,2001,661.3,209.58,29.8,33224.0
Australia,Wheat,2012,332.7,120.98,34.4,32203.3
United States of America,Soybeans,2012,415.1,186.02,16.6,28095.5
Australia,"Rice, paddy",2003,2634.6,122.12,26.3,39208.0
Brazil,Wheat,2019,2620.8,196.5,33.9,39938.5
United States of America,Potatoes,2015,987.6,420.52,11.0,179206.3
China,Soybeans,2010,1637.7,193.48,21.3,33840.6
Australia,Maize,2004,2291.1,256.35,27.0,38584.7
Australia,Wheat,2010,2079.4,401.16,12.6,40865.5
United States of America,Potatoes,2010,2921.0,471.19,29.6,189299.3
Brazil,Maize,2004,1784.0,415.35,11.7,36427.6
China,Wheat,2007,2376.9,312.52,19.5,41683.7
United States of America,Maize,2016,989.6,130.73,11.7,30078.6
United States of America,"Rice, paddy",2020,638.1,237.43,12.8,30011.5
Australia,Soybeans,2015,2491.8,328.41,13.2,37457.2
India,Wheat,2007,1466.6,219.98,25.3,37904.5
China,Potatoes,2020,2125.2,248.28,10.3,186653.2
China,Wheat,2014,981.1,377.64,21.5,38881.6
China,Maize,2010,1027.2,270.01,28.2,36028.2
China,Maize,2017,876.5,253.17,31.0,32204.5
Australia,Maize,2004,1893.9,254.43,17.4,40979.8
China,Wheat,2004,732.2,231.05,10.2,34174.1
India,Potatoes,2004,2679.9,139.31,14.8,188496.7
India,"Rice, paddy",2020,2279.3,308.18,14.7,37310.2
India,Soybeans,2008,1796.4,3.11,29.0,26301.7
Brazil,Maize,2004,636.7,193.0,26.1,30704.0
United States of America,Maize,2004,2090.2,1.44,14.5,30707.1
India,Potatoes,2013,2253.2,52.52,15.6,163902.1
China,Potatoes,2001,1918.3,301.27,10.6,192892.5
Brazil,Soybeans,2011,2419.2,353.99,29.7,35070.4
Brazil,Soybeans,2003,630.4,367.89,15.9,31058.7
China,Maize,2014,2995.5,466.59,26.1,45346.7
India,Potatoes,2019,2421.3,59.61,20.2,185578.6
India,"Rice, paddy",2015,847.9,282.99,34.5,32756.0
Brazil,Soybeans,2010,365.3,415.93,16.8,28822.6
Australia,Maize,2009,2602.4,113.16,19.4,37163.9
Australia,Potatoes,2016,1475.0,468.71,27.7,189370.5
United States of America,Maize,2000,2406.6,4.01,11.4,32089.7
China,Potatoes,2019,2073.8,478.33,11.7,180895.7
China,Maize,2013,973.8,136.34,29.0,31792.0
United States of America,Wheat,2012,1024.0,78.61,31.3,32764.0
Brazil,Wheat,2020,1737.5,205.84,18.7,36565.7
United States of America,Maize,2019,645.6,441.13,19.8,38675.1
India,Soybeans,2020,992.6,327.26,15.0,33383.8
India,Maize,2018,2924.4,304.46,18.7,39732.9
India,Wheat,2001,1390.7,271.5,29.8,35917.5
India,Wheat,2001,520.7,229.42,22.1,36628.2
United States of America,Maize,2006,1772.7,31.61,22.8,35639.1
China,Maize,2009,2940.8,397.1,22.4,46203.5
United States of America,Potatoes,2013,2336.1,9.46,13.2,171164.2
China,Potatoes,2013,944.7,225.89,34.6,176284.0
China,Wheat,2009,1644.1,53.18,26.4,33509.8
India,Maize,2017,552.2,220.82,14.9,34371.2
Australia,Soybeans,2007,2454.4,198.29,32.9,32689.4
United States of America,"Rice, paddy",2019,1806.1,83.43,25.3,33339.7
Brazil,Wheat,2000,390.1,182.16,28.3,32870.9
Brazil,Soybeans,2003,2456.2,483.89,31.4,40876.6
India,Soybeans,2020,2103.4,317.52,14.1,34100.7
United States of America,Maize,2004,1811.3,263.94,28.0,35788.7
Australia,Wheat,2019,2779.2,55.82,29.0,39385.5
India,Maize,2001,2518.4,229.9,18.9,41630.5
China,"Rice, paddy",2015,2222.4,413.08,12.5,37008.1
Australia,Maize,2019,2744.5,369.97,14.8,38498.5
India,Soybeans,2011,1572.5,489.56,25.9,43063.5
China,Soybeans,2015,587.1,157.8,10.1,24596.0
China,Potatoes,2000,2560.0,140.0,26.1,204148.0
China,"Rice, paddy",2014,1124.3,106.72,10.8,29264.7
China,Potatoes,2016,2368.4,394.33,26.6,180037.2
United States of America,Maize,2000,2660.4,0.59,14.2,29752.6
China,Soybeans,2007,647.9,206.67,30.1,26696.0
Brazil,Potatoes,2016,413.5,370.08,33.0,192325.8
Brazil,Maize,2002,2335.7,402.55,10.5,38302.6
India,Maize,2018,2656.4,56.73,27.6,34055.8
India,Wheat,2019,1113.4,299.38,17.4,37568.3
Brazil,Wheat,2003,474.1,438.68,31.9,34950.5
Australia,Wheat,2015,393.6,291.61,34.9,30687.4
United States of America,Soybeans,2020,471.8,415.77,25.0,35011.1
India,"Rice, paddy",2000,367.9,347.38,12.1,31360.2
China,Wheat,2018,2709.8,221.97,25.2,45141.1
Australia,Maize,2003,2126.4,66.28,15.9,37355.9
China,Soybeans,2002,2061.0,475.29,25.0,40526.0
India,"Rice, paddy",2016,407.4,302.23,32.7,33481.9
Brazil,Potatoes,2009,2923.1,166.01,22.1,205350.4
Australia,Potatoes,2016,1694.7,3.25,10.2,150080.2
Brazil,Potatoes,2000,1214.9,401.39,24.3,172599.9
India,Wheat,2004,1068.3,409.19,23.3,41454.8
Brazil,Wheat,2006,1632.6,351.28,34.8,37725.5
India,Potatoes,2018,1409.8,453.85,27.9,185972.4
China,Soybeans,2015,1101.2,359.36,33.9,34391.5
Australia,Wheat,2014,2653.3,128.72,26.6,40761.5
India,Potatoes,2017,549.2,298.36,23.7,193925.6
Brazil,Wheat,2006,1414.2,323.23,26.2,42106.1
Brazil,Maize,2012,327.4,318.23,32.8,35017.8
China,Maize,2020,2736.6,33.69,23.3,37330.8
United States of America,Wheat,2008,1439.5,147.87,22.2,35419.0
Australia,Wheat,2005,2583.1,346.4,20.7,43910.1
Brazil,Soybeans,2008,1127.0,394.6,21.2,36629.1
China,Potatoes,2014,2350.2,49.89,32.2,189896.5
United States of America,Maize,2003,1361.0,263.14,22.8,38015.1
Australia,Wheat,2000,2855.9,170.21,22.9,39170.8
United States of America,Potatoes,2002,1219.6,36.32,20.2,204041.8
Australia,"Rice, paddy",2015,888.3,494.02,21.4,34528.5
China,Wheat,2012,2924.5,114.63,34.4,35270.7
United States of America,Maize,2013,383.6,194.3,14.0,30455.6
United States of America,Maize,2014,1617.2,65.46,30.9,29084.4
Brazil,Potatoes,2017,2532.1,492.01,17.2,172428.4
China,Wheat,2012,2921.0,386.88,34.5,49669.6
Australia,Soybeans,2018,1261.7,413.49,27.7,32518.7
United States of America,Wheat,2020,1224.6,135.49,34.2,28573.3
China,Soybeans,2002,706.4,408.47,15.2,34584.4
Australia,Wheat,2002,2676.8,311.89,24.2,41257.3
Australia,Potatoes,2004,1584.0,271.74,15.7,191966.6
Brazil,Soybeans,2001,2249.8,266.93,31.7,35779.1
China,Soybeans,2016,2138.0,233.66,10.9,32028.9
India,Maize,2018,1684.8,47.29,28.9,28316.6
China,Maize,2000,1819.3,220.89,25.1,37391.6
India,Maize,2017,2259.4,447.28,21.4,47723.0
China,Soybeans,2002,841.3,55.08,31.3,24463.4
India,Wheat,2016,1105.8,120.57,17.8,35993.9
Australia,Maize,2002,2169.8,67.65,17.5,35810.1
China,"Rice, paddy",2008,1052.7,105.75,33.9,29704.4
Brazil,Wheat,2003,2552.2,370.37,13.6,43175.4
Australia,Potatoes,2008,2368.5,423.04,25.3,202693.2
China,Maize,2002,1782.7,316.23,24.4,37585.3
United States of America,Soybeans,2018,1711.0,150.13,11.9,33020.6
China,"Rice, paddy",2001,2217.3,333.59,15.3,36154.9
United States of America,Maize,2007,1089.8,76.59,16.7,30890.6
India,Wheat,2008,892.0,17.32,15.4,29621.9
Brazil,Wheat,2016,2243.4,433.53,21.3,45117.0
China,"Rice, paddy",2013,1550.6,117.71,17.6,32984.5
China,Soybeans,2007,1032.8,248.6,17.1,32015.9
Brazil,Wheat,2011,1386.6,51.82,14.7,30132.2
Australia,"Rice, paddy",2017,1045.7,353.63,11.6,33759.9
Australia,Potatoes,2010,2532.1,65.4,24.1,185533.9
United States of America,Potatoes,2003,2430.1,445.99,20.8,196690.9
China,Maize,2004,613.3,21.62,24.1,31937.9
China,Maize,2009,675.6,127.49,31.9,29065.5
Brazil,Wheat,2003,2196.9,149.38,12.6,34165.7
Brazil,Maize,2011,2998.6,52.85,22.5,39834.9
Brazil,"Rice, paddy",2013,2381.1,1.94,31.5,29689.7
Australia,"Rice, paddy",2004,2519.9,425.25,15.3,38148.5
India,Potatoes,2012,2335.9,18.45,19.9,221564.6
China,"Rice, paddy",2002,1152.2,322.59,19.9,32082.2
China,Soybeans,2010,1293.0,29.52,12.8,27946.2
United States of America,Soybeans,2011,569.6,344.18,16.0,31945.4
Brazil,Wheat,2002,1391.6,265.7,24.9,39416.4
Australia,Maize,2003,412.5,199.12,29.1,27992.5
India,Potatoes,2011,639.0,8.97,29.3,177032.7
India,"Rice, paddy",2004,1017.1,9.27,17.3,26765.4
China,Wheat,2011,303.7,150.25,26.2,36973.7
China,Maize,2008,1776.8,414.97,25.2,39200.9
Brazil,Potatoes,2007,477.4,114.5,16.2,168775.4
China,Soybeans,2014,461.2,335.99,24.6,37206.3
Brazil,Potatoes,2008,853.4,362.95,25.5,203550.4
India,"Rice, paddy",2009,1150.9,138.48,34.5,30404.2
China,Maize,2010,2486.6,473.72,18.4,43502.0
China,Wheat,2014,463.7,345.15,27.3,37292.5
India,Maize,2000,2886.4,265.07,16.0,41452.1
Australia,"Rice, paddy",2020,2898.2,310.64,33.2,38170.9
Australia,Maize,2005,1503.0,104.99,11.2,34537.9
India,Wheat,2015,2986.4,263.85,19.8,41148.1
China,Maize,2015,1398.0,476.53,23.1,42166.7
China,Maize,2004,1479.9,296.98,11.8,35327.8
China,Potatoes,2018,2276.7,177.84,27.5,194365.9
Brazil,Soybeans,2015,2938.7,378.78,14.0,42500.4
India,Maize,2006,2409.6,480.1,29.1,42975.2
Australia,Potatoes,2008,2555.6,392.32,19.4,217551.5
Australia,"Rice, paddy",2007,2589.7,364.57,12.4,37626.9
Australia,Maize,2002,2715.5,0.72,32.5,33764.8
India,Soybeans,2006,1303.7,196.53,28.9,32846.8
Brazil,Maize,2016,1499.8,138.14,25.6,30691.9
India,"Rice, paddy",2000,817.3,459.16,12.5,36980.4
United States of America,Maize,2010,2329.8,114.73,33.9,35500.8
India,Soybeans,2003,1870.4,218.59,24.5,33128.1
Brazil,Potatoes,2018,1062.7,176.85,32.4,202213.1
United States of America,Potatoes,2014,1770.2,102.63,16.4,176761.0
Brazil,Potatoes,2013,492.1,34.97,33.5,134541.6
Brazil,Soybeans,2003,2172.8,385.68,26.4,39029.9
Brazil,"Rice, paddy",2016,1755.6,141.59,20.6,33629.1
Australia,Wheat,2009,841.5,102.19,10.3,24318.2
China,Maize,2018,440.1,95.96,17.8,31322.2
India,Soybeans,2012,1441.1,151.81,18.1,33560.2
India,Maize,2018,790.4,185.79,32.5,30368.6
Australia,Wheat,2015,511.8,272.48,27.7,39288.7
Brazil,"Rice, paddy",2008,1025.9,314.4,22.0,34816.4
India,Maize,2020,1812.2,390.48,27.7,39882.4
Brazil,Potatoes,2016,2818.9,413.84,27.4,195399.4
India,"Rice, paddy",2006,2596.3,172.63,10.8,36531.9
India,Soybeans,2008,1232.4,168.14,34.5,30314.0
China,Soybeans,2000,1142.4,241.51,22.7,34490.3
China,"Rice, paddy",2016,368.0,419.58,10.3,28034.9
Brazil,Soybeans,2018,2206.7,267.38,23.5,36128.6
Australia,Wheat,2004,2239.8,431.39,14.5,43081.9
China,Maize,2010,2636.3,79.06,17.7,38832.4
United States of America,Maize,2004,491.4,156.78,33.4,26963.9
China,Wheat,2016,353.4,195.65,14.8,33850.1
China,Wheat,2005,1201.9,366.48,20.1,38479.4
